번호	뜻	한자	훈독	음독
495	매울 렬	烈	れつ	
496	찢을 렬	裂	れつ	さく、さける
497	청렴할 렴	廉	れん	
498	사냥 렵	猟	りょう	
499	하여금 령	令	れい	
500	거느릴 령	領	りょう	
501	방울 령	鈴	れい、りん	すず
502	떨어질 령/영 령	零	れい	
503	신령 령	霊	れい、りょう	たま
504	나이 령	齢	れい	
505	예도 례	礼	れい、らい	
506	법식 례	例	れい	たどえる
507	종 례	隷	れい	
508	길 로	路	ろ	じ
509	늙을 로	老	ろう	おいる、ふける
510	일할 로	労	ろう	
511	화로 로	炉	ろ	
512	사로잡을 로	虜	りょ	とりこ
513	이슬 로	露	ろ、ろう	つゆ
514	푸를 록	緑	りょく、ろく	みどり
515	기록할 록	録	ろく	
516	사슴 록	鹿	ろく	しか、か
517	산기슭 록	麓	ろく	ふもと
518	논할 론	論	ろん	
519	희롱할 롱	弄	ろう	もてあそぶ
520	비 올 롱	滝		たき
521	대바구니 롱	籠	ろう	かご、こもる
522	우레 뢰	雷	らい	かみなり
523	뇌물 뢰	賂	ろ	まいない
524	의뢰할 뢰	頼	らい	たのむ、たのもしい、たよる
525	여울 뢰	瀬		せ
526	헤아릴 료	料	りょう	
527	마칠 료	了	りょう	
528	동료 료	僚	りょう	
529	동관 료	寮	りょう	
530	병 고칠 료	療	りょう	
531	밝을 료	瞭	りょう	
532	용 룡	竜	りゅう	たつ
533	눈물 루	涙	るい	なみだ
534	여러/자주 루	累	るい	
535	보루 루	塁	るい	
536	다락 루	楼	ろう	
537	샐 루	漏	ろう	もる、もれる、もらす
538	흐를 류	流	りゅう、る	ながれる、ながす
539	무리 류	類	るい	
540	머무를 류	留	りゅう、る	とめる、とまる、とどまる
541	버들 류	柳	りゅう	やなぎ
542	유황 류	硫	りゅう	
543	맑은 유리 류	瑠	る	
544	뭍 륙	陸	りき	
545	바퀴 륜	輪	りん	わ
546	인륜 륜	倫	りん	
547	비율 률/거느릴 솔	率	りつ、そつ	ひきいる
548	법칙 률	律	りつ、りち	
549	떨릴 률	慄	りつ	
550	높을 륭	隆	りゅう	
551	언덕 릉	陵	りょう	みささぎ
552	다스릴 리	理	り	
553	마을 리	里	り	さと
554	이로울 리	利	り	きく
555	속 리	裏	り	うら
556	관리 리	吏	り	
557	이 리	厘	りん	
558	배나무 리	梨	り	なし
559	설사 리	痢	り	
560	밟을 리	履	り	はく
561	유리 리	璃	り	
562	떠날 리	離	り	はなれる、はなす
563	이웃 린	隣	りん	となり、となる
564	수풀 림	林	りん	はやし
565	임할 림	臨	りん	のぞむ
566	설 립	立	りつ、りゅう	たつ、たてる
567	낟알 립	粒	りゅう	つぶ
568	말 마	馬	ば	うま、ま
569	삼 마	麻	ま	あさ
570	문지를 마	摩	ま	
571	갈 마	磨	ま	みがく
572	마귀 마	魔	ま	
573	장막 막	幕	まく	
574	넓을/사막 막	漠	ばく	
575	꺼풀/막 막	膜	まく	
576	일만 만	万	まん、ばん	
