번호	뜻	한자	훈독	음독
1437	벼슬 작	爵	しゃく	
1438	남을 잔	残	ざん	のこる、のこす
1439	사다리 잔	桟	さん	
1440	누에 잠	蚕	さん	かいこ
1441	잠길 잠	潜	せん	ひそむ、もぐる
1442	잠깐 잠	暫	ざん	
1443	섞일 잡	雑	ざつ、ぞう	
1444	긴 장	長	ちょう	ながい
1445	마당 장	場	じょう	ば
1446	글 장	章	しょう	
1447	장막 장	帳	ちょう	
1448	창자 장	腸	ちょう	
1449	베풀 장	張	ちょう	はる
1450	장수 장	将	しょう	
1451	꾸밀 장	装	そう、しょう	よそおう
1452	막을 장	障	しょう	さわる
1453	감출 장	蔵	ぞう	くら
1454	오장 장	臓	ぞう	
1455	어른 장	丈	そう	たけ
1456	장인 장	匠	しょう	
1457	장할 장	壮	そう	
1458	씩씩할/ 별장 장	荘	そう	
1459	손바닥 장	掌	しょう	
1460	단장할 장	粧	しょう	
1461	장사지낼 장	葬	そう	ほうむる
1462	장려할 장	奨	しょう	
1463	재주 재	才	さい	
1464	재목 재	材	ざい	
1465	두 재	再	さい、さ	ふたたび
1466	있을 재	在	ざい	ある
1467	재앙 재	災	さい	わざわい
1468	재물 재	財	ざい、さい	
1469	마를 재	裁	さい	たつ、さばく
1470	재상 재	宰	さい	
1471	심을 재	栽	さい	
1472	재계할/ 집 재	斎	さい	
1473	실을 재	載	さい	のせる、のる
1474	다툴 쟁	争	そう	あらそう
1475	낮을 저	低	てい	ひくい、ひくめる、ひくまる
1476	밑 저	底	てい	そこ
1477	쌓을 저	貯	ちょ	
1478	나타날 저	著	ちょ	あらわす、いちじるしい
1479	엿볼 저	狙	そ	ねらう
1480	막을 저	抵	てい	
1481	집 저	邸	てい	
1482	젓가락 저	箸		はし
1483	붉을 적	赤	せき、しゃく	あか、あかい、あからむ、あからめる
1484	피리 적	笛	てき	ふえ
1485	과녁 적	的	てき	まと
1486	쌓을 적	積	せき	つむ、つもる
1487	맞을 적	敵	てき	かなう
1488	대적할 적	適	てき	かたき
1489	길쌈할 적	績	せき	
1490	고요할 적	寂	せき、じゃく	さび、さびしい、さびれる
1491	도둑 적	賊	ぞく	
1492	발자취 적	跡	せき	あと
1493	물방울 적	滴	てき	しずく、したたる
1494	정실 적	嫡	ちゃく	
1495	딸 적	摘	てき	つむ
1496	문서 적	籍	せき	
1497	밭/ 논 전	田	でん	た
1498	앞 전	前	ぜん	まえ
1499	번개 전	電	でん	
1500	온전할 전	全	ぜん	まったく
1501	구를 전	転	てん	ころがる、ころげる、ころがす、ころぶ
1502	전할 전	伝	でん	つたえる、つたわる、つたう
1503	법 전	典	てん	
1504	싸움 전	戦	せん	いくさ、たたかう
1505	돈 전	銭	せん	ぜに
1506	오로지 전	専	せん	もっぱら
1507	펼 전	展	てん	
1508	마개 전	栓	せん	
1509	전각 전	殿	でん、てん	との、どの
1510	메울 전/ 누를 진	塡	てん	
1511	달일 전	煎	せん	いる
1512	설명할 전	詮	せん	
1513	찌지 전	箋	せん	
1514	끊을 절/ 모두 체	切	せつ、さい	きる、きれる
1515	꺾을 절	折	せつ	おる、おれる
1516	마디 절	節	せつ、せち	ふし
1517	끊을 절	絶	ぜつ	たえる、たやす、たつ
1518	훔칠 절	窃	せつ	
1519	가게 점	店	てん	みせ
1520	점 점	点	てん	
1521	점령할/ 점칠 점	占	せん	しめる、うらなう
1522	붙을 점	粘	ねん	ねばる
1523	점점 점	漸	ぜん	
1524	이을 접	接	せつ	つぐ
1525	바를 정	正	しょう、せい	ただしい、ただす、まさ
1526	밭두둑 정	町	ちょう	まち
1527	고무래/ 장정 정	丁	ちょう、てい	
1528	정할 정	定	てい、じょう	さだめる、さだまる、さだか
1529	뜰 정	庭	てい	にわ
1530	가지런할 정	整	せい	ととのう、ととのえる
1531	머무를 정	停	てい	
1532	고요할 정	静	せい、じょう	しずか、しずまる、しずめる
1533	정사 정	政	せい、しょう	まつりごと
1534	뜻 정	情	じょう、せい	なさけ
1535	한도/ 길 정	程	てい	ほど
1536	정할 정	精	せい、しょう	
1537	정수리 정	頂	ちょう	いただく、いたかき
1538	우물 정	井	せい	い
1539	우물 정	丼	とん	どんぶり
1540	드릴 정	呈	てい	
1541	조정 정	廷	てい	
1542	칠 정	征	せい	
1543	정자 정	亭	てい	
1544	곧을 정	貞	てい	
1545	바로잡을 정	訂	てい	
1546	깨끗할 정	浄	じょう	
1547	염탐할 정	偵	てい	
1548	맑을 정	晶	しょう	
1549	배 정	艇	てい	
1550	덩이 정	錠	じょう	
1551	아우 제	弟	てい、だい、で	おとうと
1552	차례 제	第	だい	
1553	제사 제	祭	さい	まつる、まつり
1554	제목 제	題	だい	
1555	절제할 제	制	せい	
1556	끌 제	提	てい	さげる
1557	지을 제	製	せい	
1558	즈음 제	際	さい	きわ
1559	덜 제	除	じょ、じ	のぞく
1560	건널 제	済	さい	すむ、すます
1561	모두 제	諸	しょ	
1562	가지런할 제	斉	せい	
1563	임금 제	帝	てい	
1564	약제 제	剤	ざい	
1565	둑 제	堤	てい	つつみ
1566	이를 조	早	そう、さっ	はやい、はやまる、はやめる
1567	새 조	鳥	ちょう	とり
1568	짤 조	組	そ	くむ、くみ
1569	아침 조	朝	ちょう	あさ
1570	도울 조	助	じょ	たすける、たすかる、すけ
1571	조사할 조	調	ちょう	しらべる、ととのう、ととのえる
1572	조 조	兆	ちょう	きざす
1573	비칠 조	照	しょう	てる、てらす、てれる
1574	가지 조	条	じょう	
1575	할아버지 조	祖	そ	
1576	지을 조	造	ぞう	つくる
1577	밀물/조수 조	潮	ちょう	しお
1578	잡을 조	操	そう	みさお、あやつる
1579	손톱 조	爪		つめ、つま
1580	조상할 조	弔	ちょう	とむらう
1581	막힐 조	阻	そ	はばむ
1582	조세 조	租	そ	
1583	둘 조	措	そ	
1584	무리 조	曹	そう	
1585	조잡할 조	粗	そ	あらい
1586	새길 조	彫	ちょう	ほる
1587	바라볼 조	眺	ちょう	ながめる
1588	낚을/낚시 조	釣	ちょう	つる
1589	조서 조	詔	しょう	みことのり
1590	만날 조	遭	そう	あう
1591	비웃을 조	嘲	ちょう	あざける
1592	구유 조	槽	そう	
1593	마를 조	燥	そう	
1594	고치 켤 조	繰		くる
1595	마름 조	藻	そう	も
1596	발 족	足	そく	あし、たりる、たす
1597	겨레 족	族	ぞく	
1598	있을 존	存	そん、ぞん	
1599	높을 존	尊	そん	たっとい、とうとい、たっとぶ、とうとぶ
1600	마칠 졸	卒	そつ	
1601	옹졸할 졸	拙	せつ	つたない
1602	마칠 종	終	しゅう	おわる、おえる
1603	씨 종	種	しゅ	たね
1604	마루 종	宗	しゅう、そう	
1605	좇을 종	従	じゅう、しょう、じゅ	したがう、したがえる
1606	세로 종	縦	じゅう	たて
1607	종기 종	腫	しゅ	はれる、はらす
1608	자취 종	踪	そう	
1609	쇠북 종	鐘	しょう	かね
1610	왼 좌	左	さ	ひだり
1611	자리 좌	席	ざ	すわる
1612	도울 좌	佐	さ	
1613	꺾을 좌	挫	ざ	
1614	허물 죄	罪	ざい	つみ
1615	달릴 주	走	そう	はしる
1616	낮 주	昼	ちゅう	ひる
1617	돌 주	週	しゅう	
1618	주인 주	主	しゅ、す	ぬし、おも
1619	고을 주	州	しゅう、す	
1620	살 주	住	じゅう	すむ、すまう
1621	부을 주	注	ちゅう	そそぐ
1622	기둥 주	柱	ちゅう	はしら
1623	술 주	酒	しゅ	さけ、さか
1624	두루 주	周	しゅう	まわり
1625	집 주	宙	ちゅう	
1626	연주할 주	奏	そう	かなでる
1627	주식 주	株		かぶ
1628	붉을 주	朱	しゅ	
1629	배 주	船	しゅう	ふね、ふな
1630	팔꿈치 주	肘		ひじ
1631	빌 주	呪	じゅ	
1632	진한 술 주	酎	ちゅう	
1633	구슬 주	珠	しゅ	
1634	머무를 주	駐	ちゅう	
1635	쇠불릴 주	鋳	ちゅう	いる
1636	대 죽	竹	ちく	たけ
1637	준비할 준	準	じゅん	
1638	준걸 준	俊	しゅん	
1639	승인할 준	准	じゅん	
1640	좇을 준	遵	じゅん	
1641	가운데 중	中	ちゅう、じゅう	なか
1642	무거울 중	重	じゅう、ちょう	え、おもい、かさねる、かさなる
1643	버금 중	仲	ちゅう	なか
1644	무리 중	衆	しゅう、しゅ	
1645	곧 즉	即	そく	
1646	즙 즙	汁	じゅう	しる
1647	증거 증	証	しょう	
1648	더할 증	増	ぞう	ます、ふえる、ふやす
1649	찔 증	蒸	じょう	むす、むれる、むらす
1650	증세 증	症	しょう	
1651	일찍 증	曽	そう	
1652	미울 증	憎	ぞう	にくむ、にくい、にくらしい、にくしみ
1653	줄 증	贈	ぞう、そう	おくる
1654	그칠 지	止	し	とまる、とめる
1655	땅 지	地	ち、じ	
1656	못 지	池	ち	いけ
1657	알 지	知	ち	しる
1658	종이 지	紙	し	かみ
1659	가질 지	持	じ	もつ
1660	가리킬 지	指	し	ゆび、さす
1661	지탱할 지	支	し	ささえる
1662	뜻 지	志	し	こころざす、こころざし
1663	가지 지	枝	し	えだ
1664	이를 지	至	し	いたる
1665	기록할 지	誌	し	
1666	뜻 지	旨	し	むね、うまい
1667	잡초 지	芝		しば
1668	팔다리 지	肢	し	
1669	복 지	祉	し	
1670	기름 지	脂	し	あぶら
1671	더딜/늦을 지	遅	ち	おくれる、おくらす、おそい
1672	담글 지	漬		つける、つかる
1673	잡을 지	摯	し	
1674	곧을 직	直	ちょく、じき	ただちに、なおす、なおる
1675	직분 직	職	しょく	
1676	짤 직	織	しょく、しき	おる
1677	참 진	真	しん	ま
1678	나아갈 진	進	しん	すすむ、すすめる
1679	다할 진	尽	じん	つくす、つきる、つかす
1680	나루 진	津	しん	つ
1681	보배 진	珍	ちん	めずらしい
1682	진칠 진	陣	じん	
1683	떨칠 진	振	しん	ふる、ふるう、ふれる
1684	베풀/묵을 진	陳	ちん	
1685	진찰할 진	診	しん	みる
1686	우레 진	震	しん	ふるう、ふるえる
1687	진압할 진	鎮	ちん	しずめる、しずまる
1688	바탕 질	質	しつ、しち	
1689	꾸짖을 질	叱	しつ	しかる
1690	경질할 질	迭	てつ	
1691	병 질	疾	しつ	
1692	차례 질	秩	ちつ	
1693	막힐 질	窒	ちつ	
1694	미워할 질	嫉	しつ	ねたむ、ねたましい
1695	나 짐	朕	ちん	
1696	모을 집	集	しゅう	あつまる、あつめる、つどう
1697	잡을 집	執	しつ、しゅう	とる
1698	부를 징	徴	ちょう	
1699	맑을 징	澄	ちょう	すむ、すます
1700	징계할 징	懲	ちょう	こりる、こらす、こらしめる
1701	수레 차/수레 거	車	しゃ	くるま
1702	차 차/차 다	茶	ちゃ、さ	
1703	버금 차	次	じ、し	つぎ、つぐ
1704	다를 차	差	さ	さす
1705	빌릴 차	借	しゃく	かりる
1706	또 차	且		かつ
1707	가릴 차	遮	しゃ	さえぎる
1708	붙을 착	着	ちゃく、じゅく	きる、きせる、つく、つける
1709	잡을 착	捉	そく	とらえる
1710	짤 착	搾	さく	しぼる
1711	어긋날 착	錯	さく	
1712	도울 찬	賛	さん	
1713	편지 찰	札	さつ	ふだ
1714	살필 찰	察	さつ	
1715	절 찰	刹	さつ、せつ	
1716	핍박할 찰	拶	さつ	
1717	문지를 찰	擦	さつ	する、すれる
1718	참여할 참/석 삼	参	さん	まいる
1719	참혹할 참	惨	さん、ざん	みじめ、むごい
1720	벨 참	斬	ざん	きる
1721	곳집 창	倉	そう	くら
1722	부를 창	唱	しょう	となえる
1723	창 창	窓	そう	まど
1724	비롯할 창	創	そう	
1725	드러날 창	彰	しょう	
1726	나물 채	菜	さい	な
1727	캘 채	採	さい	とる
1728	풍채 채	采	さい	
1729	채색 채	彩	さい	いろどる
1730	빚 채	債	さい	
1731	꾸짖을 책	責	せき	せめる
1732	책 책	冊	さつ、さく	
1733	꾀 책	策	さく	
1734	울타리 책	柵	さく	
1735	아내 처	妻	さい	つま
1736	곳 처	処	しょ	
1737	쓸쓸할 처	凄	せい	すごい、すさまじい
1738	자 척	尺	しゃく	
1739	물리칠 척	斥	せき	しりぞける
1740	넓힐 척/박을 탁	拓	たく	
1741	외짝 척	隻	せき	
1742	등마루 척	脊	せき	
1743	칠 척	捗	ちょく	はかどる
1744	친척 척	戚	せき	
1745	일천 천	千	せん	ち
1746	내 천	川	せん	かわ
1747	하늘 천	天	てん	あめ、あま
1748	얕을 천	浅	せん	あさい
1749	샘 천	泉	せん	いずみ
1750	밟을 천	践	せん	
1751	옮길 천	遷	せん	
1752	천거할 천	薦	せん	すすめる
1753	쇠 철	鉄	てつ	
1754	볼록할 철	凸	とつ	でこ
1755	밝을 철	哲	てつ	
1756	통할 철	徹	てつ	
1757	거둘 철	撤	てつ	
1758	더할 첨	添	てん	そえる、そう
1759	거듭 첩	畳	じょう	たたむ、たたみ
1760	붙일 첩	貼	ちょう、てん	はる
1761	푸를 청	青	せい	あお、あおい
1762	갤 청	晴	せい	はれる、はらす
1763	맑을 청	清	せい、しょう	きよい、きよらか、きよまる、きよめる
1764	관청 청	庁	ちょう	
1765	청할 청	請	せい、しん	こう、うける
1766	들을 청	聴	ちょう	きく
1767	몸 체	体	たい、てい	からだ
1768	갈릴 체	逓	てい	
1769	잡을 체	逮	たい	
1770	바꿀 체	替	たい	かえる、かわｒ
1771	막힐 체	滞	たい	とどこおる
1772	맺을 체	締	てい	しまる、しめる
1773	살필 체	諦	てい、たい	あきらめる
1774	풀 초	草	そう	くさ
1775	분초 초	秒	びょう	
1776	처음 초	初	しょ	はじめ、はじめて、はつ、うい、そめる
1777	부를 초	招	しょう	まねく
1778	뽑을 초	抄	しょう	
1779	닮을/같을 초	肖	しょう	
1780	식초 초	酢	さく	す
1781	탈 초	焦	しょう	こげる、こがす、こがれる、あせる
1782	화약 초	硝	しょう	
1783	뛰어넘을 초	超	ちょう	こえる、こす
1784	암초 초	礁	しょう	
1785	주춧돌 초	礎	そ	いしずえ
1786	재촉할 촉	促	そく	うながす
1787	닿을 촉	触	しょく	ふれる、さわる
1788	부탁할 촉	嘱	しょく	
1789	마을 촌	村	そん	むら
1790	마디 촌	寸	すん	
1791	다 총	総	そう	
1792	무덤 총	塚		つか
1793	총 총	銃	じゅう	
1794	사진 찍을 촬	撮	さつ	とる
1795	가장 최	最	さい	もっとも
1796	재촉할 최	催	さい	もよおす
1797	가을 추	秋	しゅう	あき
1798	쫓을/따를 추	追	つい	おう
1799	밀 추	推	すい	おす
1800	뽑을 추	抽	ちゅう	
1801	지도리 추	枢	すう	
1802	등골 추	椎	つい	しい
1803	떨어질 추	墜	つい	
1804	추할 추	醜	しゅう	みにくい
1805	빌 축	祝	しゅく、しゅう	いわう
1806	쌓을 축	築	ちく	きずく
1807	줄일 축	縮	しゅく	ちぢむ、ちぢまる、ちぢめる、ちぢれる、ちぢらす
1808	쫓을 축	逐	ちく	
1809	짐승 축	畜	ちく	
1810	굴대 축	軸	じく	
1811	모을 축	蓄	ちく	たくわえる
1812	찰 축	蹴	しゅう	ける
1813	봄 춘	春	しゅん	はる
1814	날 출	出	しゅつ、すい	でる、だす
1815	벌레 충	虫	ちゅう	むし
1816	충성 충	忠	ちゅう	
1817	채울 충	充	じゅう	あてる
1818	화할 충	沖	ちゅう	おき
1819	속마음 충	衷	ちゅう	
1820	찌를 충	衝	しょう	
1821	가질 취	取	しゅ	とる
1822	나아갈 취	就	しゅう、じゅ	つく、つける
1823	불 취	吹	すい	ふく
1824	불 땔 취	炊	すい	たく
1825	냄새 취	臭	しゅう	くさい、におう
1826	취할 취	酔	すい	よう
1827	뜻 취	趣	しゅ	おもむき
1828	곁 측	側	そく	がわ
1829	헤아릴 측	測	そく	はかる
1830	층 층	層	そう	
1831	이 치	歯	し	は
1832	다스릴 치	治	じ、ち	おさめる、おさまる、なおる、なおす
1833	둘 치	置	ち	おく
1834	값 치	値	ち	ね、あたい
1835	부끄러울 치	恥	ち	はじ、はじる、はじらう、はずかしい
1836	이를 치	致	ち	いたす
1837	어리석을 치	痴	ち	
1838	어릴 치	稚	ち	
1839	빽빽할 치	緻	ち	
1840	법칙 칙	則	そく	
1841	칙서 칙	勅	ちょく	
1842	친할 친	親	しん	おや、したしい、したしむ
1843	일곱 칠	七	しち	なな、ななつ、なの
1844	옻 칠	漆	しつ	うるし
1845	바늘 침	針	しん	はり
1846	잠길 침	沈	ちん	しずむ、しずめる
1847	배게 침	枕	ちん	まくら
1848	침노할 침	侵	しん	おかす
1849	잠길 침	浸	しん	ひたす、ひたる
1850	잘 침	寝	しん	ねる、ねかす
1851	일컬을 칭	称	しょう	
1852	쾌할 쾌	快	かい	こころよい
1853	칠 타	打	だ	うつ
1854	다를 타	他	た	ほか
1855	온당할 타	妥	だ	
1856	침 타	唾	だ	つば
1857	떨어질 타	堕	だ	
1858	게으를 타	惰	だ	
1859	높을 탁	卓	たく	
1860	부탁할 탁	託	たく	
1861	흐릴 탁	濁	だく	にごる、にごす
1862	씻을 탁	濯	たく	
1863	숯 탄	炭	たん	すみ
1864	낳을 탄	誕	たん	
1865	탄알 탄	弾	だん	ひく、はずむ、たま
1866	탄식할 탄	嘆	たん	なげく、なげかわしい
1867	터질 탄	綻	たん	ほころびる、ほころぶ
1868	벗을 탈	脱	だつ	ぬぐ、ぬげる
1869	빼앗을 탈	奪	だつ	うばう
1870	찾을 탐	探	たん	さぐる、さがす
1871	탐할 탐	貪	どん	むさぼる
1872	탑 탑	塔	とう	
1873	탈 탑	搭	とう	
1874	끓일 탕	湯	とう	ゆ
1875	클 태	太	たい、た	ふとい、ふとる
1876	모습 태	態	たい	
1877	사치할 태	汰	た	
1878	게으를 태	怠	たい	おこたる、なまける
1879	아이 밸 태	胎	たい	
1880	클 태	泰	たい	
1881	짐 실을 태	駄	だ	
1882	집 택	宅	たく	
1883	가릴 택	択	たく	
1884	못 택	沢	たく	さわ
1885	흙 토	土	ど、と	つち
1886	칠 토	討	とう	うつ
1887	토할 토	吐	と	はく
1888	통할 통	通	つう、つ	とおる、とおす、かよう
1889	거느릴 통	統	とう	すべる
1890	아플 통	痛	つう	いたい、いたむ、いためる
1891	통 통	筒	とう	つつ
1892	물러날 퇴	退	たい	しりぞく、しりぞける
1893	언덕/쌓을 퇴	堆	たい	うずたかい
1894	던질 투	投	とう	なげる
1895	샘낼 투	妬	と	ねたむ、ねたましい
1896	사무칠 투	透	とう	すく、すかす、すける
1897	싸울 투	闘	とう	たたかう
1898	특별할 특	特	とく	
1899	물결 파	波	は	なみ
1900	깨뜨릴 파	破	は	やぶる、やぶれる
1901	갈래 파	派	は	
1902	잡을 파	把	は	
1903	할머니 파	婆	ば	
1904	마칠 파	罷	ひ	
1905	언덕 판	坂	はん	さか
1906	널빤지 판	板	はん、ばん	いた
1907	판단할 판	判	はん、ばん	
1908	판목 판	版	はん	
1909	언덕 판	阪	はん	さか
1910	팔 판	販	はん	
1911	여덟 팔	八	はち	や、やつ、やっつ、よう
1912	조개 패	貝		かい
1913	패할 패	敗	はい	やぶれる
1914	염불 소리 패	唄		うた
1915	으뜸 패	覇	は	
1916	부풀 팽	膨	ぼう	ふくらむ、ふくれる
1917	편할 편/오줌 변	便	べん、びん	たより
1918	엮을 편	編	へん	あむ
1919	조각 편	片	へん	かた
1920	치우칠 편	偏	へん	かたよる
1921	두루 편	遍	へん	
1922	평평할 평	平	へい、びょう	たいら、ひら
1923	평할 평	評	ひょう	
1924	들 평	坪		つぼ
1925	허파 폐	肺	はい	
1926	대궐 섬돌 폐	陛	へい	
1927	닫을 폐	閉	へい	しまる、しめる、とじる、とざす
1928	버릴 폐	廃	はい	すたれる、すたる
1929	화폐 폐	幣	へい	
1930	폐단 폐	弊	へい	
1931	덮을 폐	蔽	へい	
1932	쌀 포	包	ほう	つつむ
1933	베 포	布	ぶ	ぬの
1934	두려워할 포	怖	ぶ	こわい
1935	안을 포	抱	ほう	だく、いだく、かかえる
1936	거품 포	泡	ほう	あわ
1937	세포 포	胞	ほう	
1938	잡을 포	捕	ほ	とらえる、とらわれる、とる、つかまえる、つかまる
1939	대포 포	砲	ほう	
1940	개 포	浦	ほ	うら
1941	먹일 포	哺	ほ	
1942	배부를 포	飽	ほう	あきる、あかす
1943	펼/가게 포	舗	ほ	
1944	기릴 포	褒	ほう	ほめる
1945	사나울 폭	暴	ぼう、ばく	あばく、あばれる
1946	폭 폭	幅	ふく	はば
1947	불터질 폭	爆	ばく	
1948	겉 표	表	ひょう	おもて、あらわす、あらわれる
1949	표 표	票	ひょう	
1950	표할 표	標	ひょう	
1951	나누어 줄 표	俵	ひょう	たわら
1952	떠다닐 표	漂	ひょう	ただよう
1953	물건 품	品	ひん	しな
1954	바람 풍	風	ふう、ふ	かぜ、かざ
1955	풍년 풍	豊	ほう	ゆたか
1956	가죽 피	皮	ひ	かわ
1957	저 피	彼	ひ	かれ、かの
1958	헤칠 피	披	ひ	
1959	피곤할 피	疲	ひ	つかれる
1960	입을 피	被	ひ	こうむる
1961	피할 피	避	ひ	さける
1962	붓 필	筆	ひつ	ふで
1963	반드시 필	必	ひつ	かならず
1964	짝 필	匹	ひつ	ひき
1965	모자랄 핍	乏	ぼう	とぼしい
1966	아래 하	下	か、げ	した、しも、もと、さげる、さがる、おりる、おろす、くだる
1967	어찌 하	何	か	なに、なん
1968	여름 하	夏	か、げ	なつ
1969	멜 하	荷	か	に
1970	물 하	河	か	かわ
1971	하례할 하	賀	が	
1972	배울 학	学	がく	まなぶ
1973	모질 학	虐	ぎゃく	しいたげる
1974	학 학	鶴	かく	つる
1975	찰 한	寒	かん	さむい
1976	한나라 한	漢	かん	
1977	제한할 한	限	げん	かぎる
1978	땀 한	汗	かん	あせ
1979	한 한	恨	こん	うらむ、うらめしい
1980	한가할 한	閑	かん	
1981	나라 한	韓	かん	
1982	벨 할	割	かつ	わる、わり、われる、さく
1983	다스릴 할	轄	かつ	
1984	머금을 함	含	がん	ふくむ、ふくめる
1985	빠질 함	陥	かん	おちいる、おとしいれる
1986	큰 배 함	艦	かん	
1987	합할 합	合	ごう、がっ、かっ	あう、あわす、あわせる
1988	항구 항	港	こう	みなと
1989	배 항	航	こう	
1990	겨룰 항	抗	こう	
1991	항상 항	恒	こう	
1992	항목 항	項	こう	
1993	바다 해	海	かい	うみ
1994	해할 해	害	がい	
1995	풀 해	解	かい、げ	とく、とける、とかす
1996	각출/마땅 해	該	がい	
1997	본보기 해	楷	かい	
1998	화할 해	諧	かい	
1999	뼈 해	骸	がい	
2000	꾸짖을 핵	劾	がい	
2001	씨 핵	核	かく	
2002	갈 행	行	こう、ぎょう、あん	いく、ゆく、おこなう
2003	다행 행	幸	こう	さいわい、さち、しあわせ
2004	향할 향	向	こう	むく、むかう、むける、むこう
2005	시골 향	郷	きょう、ごう	
2006	누릴 향	享	きょう	
2007	향기 향	香	こう	か、かおり、かおる
2008	울릴 향	響	きょう	ひびく
2009	허락할 허	許	きょ	ゆるす
2010	빌 허	虚	きょ、こ	むなしい
2011	법 헌	憲	けん	
2012	집 헌	軒	けん	のき
2013	드릴 헌	献	けん、こん	
2014	시험 험	験	けん、げん	
2015	험할 험	険	けん	けわしい
2016	가죽 혁	革	かく	かわ
2017	성낼 혁	嚇	かく	
2018	고을 현	県	けん	
2019	나타날 현	現	げん	あらわれる、あらわす
2020	검을 현	玄	げん	
2021	시위 현	弦	げん	つる
2022	뱃전 현	舷	げん	
2023	어질 현	賢	けん	かしこい
2024	나타날 현	顕	けん	
2025	달 현	懸	けん、け	かける、かかる
2026	피 혈	血	けつ	ち
2027	구멍 혈	穴	けつ	あな
2028	싫어할 혐	嫌	けん、げん	きらう、いや
2029	화합할 협	協	きょう	
2030	골짜기 협	峡	きょう	
2031	낄 협	挟	きょう	はさむ、はさまる
2032	좁을 협	狭	きょう	せまい、せばめる、せばまる
2033	위협할 협	脅	きょう	おびやかす、おどす、おどかす
2034	옆구리 협	脇		わき
2035	뺨 협	頬		ほお
2036	맏 형	兄	きょう、けい	あに、にい
2037	모양 형	形	けい、ぎょう	かた、かたち
2038	모형 형	型	けい	かた
2039	형벌 형	刑	けい	
2040	도리 형	桁	こう	けた
2041	반딧불 형	蛍	けい	ほたる
2042	저울대 형	衡	こう	
2043	은혜 혜	恵	けい、え	めぐむ
2044	집 호	戸	こ	と
2045	이름 호	号	ごう	
2046	호수 호	湖	こ	みずうみ
2047	좋을 호	好	こう	すく、このむ
2048	도울 호	護	ご	
2049	부를 호	呼	こ	よぶ
2050	서로 호	互	ご	たがい
2051	범 호	虎	こ	とら
2052	활 호	弧	こ	
2053	호걸 호	豪	ごう	
2054	미혹할 혹	惑	わく	まどう
2055	심할 혹	酷	こく	
2056	섞을 혼	混	こん	まざる、まぜる、こむ
2057	혼인할 혼	婚	こん	
2058	넋 혼	魂	こん	たましい
2059	붉을 홍	紅	こう、く	べに、くれない
2060	넓을 홍	洪	こう	
2061	무지개 홍	虹	にじ	
2062	불 화	火	か	ひ、ほ
2063	꽃 화	花	か	はな
2064	그림 화/그을 획	画	が、かく	
2065	말씀 화	話	わ	はなす、はなし
2066	될 화	化	か、け	ばける、ばかす
2067	화할 화	和	わ、お	なごむ、なごやか、やわらぐ、やわらげる
2068	재물 화	貨	か	
2069	빛날 화	華	か、け	はなやか、はなばなしい
2070	재앙 화	禍	か	
2071	신발 화	靴	か	くつ
2072	굳을 확	確	かく	たしか、たしかめる
2073	넓힐 확	拡	かく	
2074	거둘 확	穫	かく	
2075	둥글 환	丸	がん	まる、まるい、まるめる
2076	헛보일 환	幻	けん	まぼろし
2077	근심 환	患	かん	わずらう
2078	부를 환	喚	かん	
2079	바꿀 환	換	かん	かえる、かわる
2080	기쁠 환	歓	かん	
2081	돌아올 환	還	かん	
2082	고리 환	環	かん	
2083	살 활	活	かつ	いかす
2084	미끄러울 활	滑	かつ、こつ	すべる、なめらか
2085	누를 황	黄	おう、こう	き、こ
2086	임금 황	皇	こう、おう	
2087	상황 황	況	きょう	
2088	거칠 황	荒	こう	あらい、あれる、あらす
2089	어리둥절할 황	慌	こう	あわてる、あわただしい
2090	모일 회	会	かい、え	あう
2091	돌 회	回	かい、え	まわる、まわす
2092	그림 회	絵	え、かい	
2093	재 회	灰	かい	はい
2094	뉘우칠 회	悔	かい	くいる、くやむ、くやしい
2095	상수리나무 회	栃		とち
2096	뇌물 회	賄	わい	まかなう
2097	품을 회	懐	かい	なつかしい、なつかしむ、なつく、なつける、ふところ
2098	얻을 획	獲	かく	える
2099	가로 횡	横	おう	よこ
2100	효과 효	効	こう	きく
2101	효도 효	孝	こう	
2102	새벽 효	暁	ぎょう	あかつき
2103	삭힐 효	酵	こう	
2104	뒤 후	後	ご、こう	のち、うしろ、あと、おくれる
2105	기후 후	候	こう	そうろう
2106	두터울 후	厚	こう	あつい
2107	임금/왕후 후	后	こう	きさき
2108	썩을 후	朽	きゅう	くちる
2109	제후 후	侯	こう	
2110	목구멍 후	喉	こう	のど
2111	맡을 후	嗅	きゅう	かぐ
2112	가르칠 훈	訓	くん	
2113	공 훈	勲	くん	いさお
2114	향 풀 훈	薫	くん	かおる
2115	헐 훼	毀	き	こわす、こぼれる、こぼつ
2116	휘두를 휘	揮	き	
2117	무리 휘	彙	い	
2118	빛날 휘	輝	き	かがやく
2119	쉴 휴	休	きゅう	やすむ、やすまる、やすめる
2120	이끌 휴	携	けい	たずさえる、たずさわる
2121	가슴 흉	胸	きょう	むね、むな
2122	흉할 흉	凶	きょう	
2123	검을 흑	黒	こく	くろ、くろい
2124	흔적 흔	痕	こん	あと
2125	마실 흡	吸	きゅう	すう
2126	일어날 흥	興	こう、きょう	おこる、おこす
2127	바랄 희	希	き	
2128	기쁠 희	喜	き	よろこぶ
2129	계집 희	姫		ひめ
2130	놀이 희	戯	ぎ	たわむれる
2131	희생할 희	犠	ぎ	
